phrase	count	pmi	parts_gloss	ref
עד בקר	8	6.92	עד, כמקום (as far as)  · דברים	פיוט #392 — במספר שבע שבתות : מנון זה השבח הרביעי
בגדלו ברכ וקדש	8	20.26	גדולה, עוצמה (greatnes · ברך · זנות פולחנית	פיוט #393 — צלות השבת הרביעי
באמירות עשר	8	10.52	מרירות · עשר, מספר עשרה	פיוט #395 — עורן כן לו עור
דנ ילידה	8	8.57	הזה · מיולדת, ילידה	פיוט #397 — צלות השבת הרביעי
מנער ועד	8	11.04	נער, ילד · ועד	פיוט #398 — צלות השבת הרביעי
ויקרא שמו	8	6.39	יקר, נכבד, מפואר · שם, כינוי	פיוט #414 — צלית השבת הששי
תנימ יומה חדימ	8	18.51	גודל, שיעור גדול · היום, כיום · שמחה, ששון	פיוט #418 — צלות השבת הששי
ויזכר אלהימ	8	6.91	זיכרון – remembering ( · אלוהים, אל	פיוט #427 — צלות השבת דששי
ביומ השלישי	8	8.86	ביום, במשך היום · השלישי	פיוט #429 — צלות לילת מקרתה
עד שקר	8	5.82	עד, כמקום (as far as)  · שקר, כזב, בגידה	פיוט #439 — צלות לילת מקרתה
אהיה אשר אהיה אינ	8	18.93	קריאת פנייה, אהה · דברים · קריאת פנייה, אהה · אין	פיוט #440 — צלות לילת מקרתה
תרח תהותה	8	8.58	שער · שממה, desolation	פיוט #446 — צלרת לילת מקרתה
הברית והחסד	8	10.75	ברית, covenant [הלוואה · חסד, טובה, חן	פיוט #449 — צלות לילת מקרתה
כלכמ אה	8	4.75	כל, כולו · הנה	פיוט #449 — צלות לילת מקרתה
חייכמ כלכמ אה	8	16.65	קיום, חיים, עשייה למען · כל, כולו · הנה	פיוט #449 — צלות לילת מקרתה
ישמר חייכמ כלכמ אה	8	27.18	שמירת מצוות האל, קיום  · קיום, חיים, עשייה למען · כל, כולו · הנה	פיוט #449 — צלות לילת מקרתה
טובכ ישראל	8	3.62	gem, אבן טובה · ישראל, שמו של יעקב	פיוט #451 — צלות לילת מקרתה
ידו מועדימ	8	7.44	יד, אבר הגוף · מועד, זמן קבוע, אסיפה	פיוט #451 — צלות לילת מקרתה
על ידו מועדימ	8	13.8	על (מילת יחס) · יד, אבר הגוף · מועד, זמן קבוע, אסיפה	פיוט #451 — צלות לילת מקרתה
ארבעימ יומ	8	7.04	ארבעים · יחידת זמן: יום, שבת	פיוט #472 — ישתבח
הדברימ אשר	8	3.83	זיכרון, אזכרה, מנחת זי · דברים	פיוט #479 — הכהן שלמה ב ; טביה בשכם
לא ראיתי	8	4.38	מילת שלילה והאיסור · ראייה, מראה	פיוט #480 — צלות לילת מקרתה
האזינו השמימ	8	9.25	דולק, שורף, בוער · שמים, רקיע	פיוט #485 — צלות לילה מקרתה
דכל מנונ	8	6.98	כל, כולו · מהם	פיוט #523 — צלות שבת הדברים
בריה ייה	8	10.29	ביריה · יפה, ראוי, הולם	פיוט #556 — צלות ממד חג הקציר במדינה
מועדי אלהימ	8	5.15	זימון ומועד, מינוי · אלוהים, אל	פיוט #561 — יוטה סדרה המזרמנה * הויך ממן ישר
מנ ראות	8	4.77	דברים · ראייה, מראה, כל תמח בר	פיוט #567 — שלשה מועדים
כל חטא	8	4.37	כל, כולו · לחטוא, להיות אשם	פיוט #582 — צלות שבת צמות הסכות
ולא ימצא	8	5.02	מילת שלילה והאיסור · למצוא	פיוט #584 — הטבעת והו קטף ברית ושבת
בימי אלהי	8	5.98	שבועה, oath · אלוהות, God	פיוט #593 — (ללא כותרת)
זה יומ הכפור	8	13.45	זה, this · יחידת זמן: יום, שבת · יקיצה, awakening	פיוט #593 — (ללא כותרת)
קהלה וארכונ	8	11.0	עדה, congregation · proper, fair	פיוט #602 — בליליה ואיממה
וארכונ קהלה	8	11.0	proper, fair · עדה, congregation	פיוט #602 — בליליה ואיממה
קהלה וארכונ קהלה	8	22.46	עדה, congregation · proper, fair · עדה, congregation	פיוט #602 — בליליה ואיממה
אה אביו	8	4.86	הנה · אב, אבות	פיוט #611 — ישתבח קעימה דלא מאת
על הכל	8	3.39	על (מילת יחס) · שכול, אבדן (bereavemen	פיוט #611 — ישתבח קעימה דלא מאת
גלי לא	8	3.91	חשיפה, גילוי · מילת שלילה והאיסור	פיוט #614 — אה סדר סיעתה * מן אלה כל שביכון טבן
אמנ בשמ	8	3.4	עמידה, וקיום, התמדה, א · בשם	פיוט #616 — עורן כן בהם עוד
אמנ בשמ יהוה	8	10.04	עמידה, וקיום, התמדה, א · בשם · יהוה, שם האלהים	פיוט #616 — עורן כן בהם עוד
שמ זכרונ	8	5.94	שם (בן נח) · זכרון, אזכרה	פיוט #619 — סהבו פינחס דקנא לאלה והמגיפה גרשה ; מגיבים אמן
זכרונ שמ זכרונ	8	17.25	זכרון, אזכרה · שם (בן נח) · זכרון, אזכרה	פיוט #619 — סהבו פינחס דקנא לאלה והמגיפה גרשה ; מגיבים אמן
זכרונ שמ זכרונ שמ	8	26.72	זכרון, אזכרה · שם (בן נח) · זכרון, אזכרה · שם (בן נח)	פיוט #619 — סהבו פינחס דקנא לאלה והמגיפה גרשה ; מגיבים אמן
ראשו שבתונ זכרונ תרועה	8	33.76	ראש, שם פרטי · שבתון, מנוחה · זכרון, אזכרה · תקיעת חצוצרה, תרועה	פיוט #641 — בה פקודים וגזרה: מהם מועדיה דאתקדשו
בשמ יתרבי	8	6.35	בשם · יתרומם	פיוט #663 — צלות מועד השמיני
חמשה ספרימ	8	12.05	חמישה (מספר זכר) · ספר, כתב	פיוט #675 — צלות מועד השמיני
נבונ וחכומ	8	12.45	נבון, בעל תובנה (insig · ידיעה, לימוד, חוכמה, k	פיוט #679 — צלות מועד השמיני
וענפי עצ	8	10.9	להתייבש · עץ	פיוט #680 — צלות מועד השמיני
עצ עבות	8	11.11	עץ · עובי, עבות (של ענן)	פיוט #680 — צלות מועד השמיני
וענפי עצ עבות	8	24.44	להתייבש · עץ · עובי, עבות (של ענן)	פיוט #680 — צלות מועד השמיני
בו ענות	8	6.72	בו · לחץ, מצוקה, ענוּת, עינ	פיוט #728 — צלות שבת מועד חג הסכות
על כנותונ	8	6.04	על (מילת יחס) · כוח, עוצמה (של התועים)	פיוט #731 — צלות ‏ מועד חנ הסכות
מנונ לו	8	2.76	מהם · ועד	פיוט #734 — בין מדעה נתבונן * ונחדש לנו ממלל
ותשרי מקרתה	8	11.61	התחלה, ראשית · אלומורף מיודע של קריה,	פיוט #807 — צלות יום הכפור
מקרתה אל	8	4.52	אלומורף מיודע של קריה, · אלוהות, אלהים	פיוט #817 — ואשר אמרי זה המימר * אפשט עדר * אה* זימוני
לו היינו	8	6.83	ועד · חיים, עץ החיים	פיוט #838 — צלות ‏ הכפור
היינו טבימ	8	11.96	חיים, עץ החיים · טובים	פיוט #838 — צלות ‏ הכפור
לו היינו טבימ	8	19.59	ועד · חיים, עץ החיים · טובים	פיוט #838 — צלות ‏ הכפור
היינו טבימ מה	8	19.64	חיים, עץ החיים · טובים · מה	פיוט #838 — צלות ‏ הכפור
לו היינו טבימ מה	8	27.27	ועד · חיים, עץ החיים · טובים · מה	פיוט #838 — צלות ‏ הכפור
דרכ יהוה	8	2.62	צעידה, דריסה ברגליים,  · יהוה, שם האלהים	פיוט #876 — צלות יום הכפור
לנו את	8	2.38	לנו · אתה (כינוי גוף שני זכר	פיוט #880 — צלות יום הכפור
תשעת יומי	8	10.49	תשע (מספר) · יום	פיוט #895 — צלות יום הכפור
תשעת יומי התשובה	8	24.09	תשע (מספר) · יום · תשובה, חזרה בתשובה	פיוט #895 — צלות יום הכפור
ודע אנ	8	7.62	ודע · מילית שאלה למקום: איה,	פיוט #907 — צלות יום הכפור
לפמ דו	7	6.66	לפי, בהתאם ל- · דו	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
ממעל ועל	7	7.71	על (מילת יחס) · height, גובה	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
הנחלה והשכינה	7	13.75	אחווה, possession · כינוי לאל, השכינה (כתו	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
רב טובו	7	5.56	גדול · טובה, אנש דלא מקדם טוב	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
בשמימ ממעל ועל	7	20.35	שמים, רקיע · על (מילת יחס) · height, גובה	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
ממעל ועל הארצ	7	17.98	על (מילת יחס) · height, גובה · ארץ, אדמה	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
ועל הארצ מתחת	7	16.89	height, גובה · ארץ, אדמה · החלק התחתון, תחתית	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
הר הנחלה והשכינה	7	24.88	הר - הר · אחווה, possession · כינוי לאל, השכינה (כתו	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
רב טובו וחסדו	7	19.83	גדול · טובה, אנש דלא מקדם טוב · חסד, טובה, חן	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
על פתח רחמיכ יהוה	7	19.11	על (מילת יחס) · פתח, aperture (פיה) · אהבה, חמלה · יהוה, שם האלהים	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
בשמימ ממעל ועל הארצ	7	30.62	שמים, רקיע · על (מילת יחס) · height, גובה · ארץ, אדמה	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
יהוה מלכ	7	2.73	יהוה, שם האלהים · למלוך, לשלוט (to rule,	פיוט #2 — צלות יהושע בן נון
והבו רבו לאלהנו	7	24.04	נתן, לתת · 1. גדולה, גדלות בעולמה · אלוהות, אלהים	פיוט #2 — צלות יהושע בן נון
יהוה אלהיכ לא	7	9.33	יהוה, שם האלהים · אלוהות, God · מילת שלילה והאיסור	פיוט #2 — צלות יהושע בן נון
האלהימ אל	7	1.94	אלוהים, אל · אלוהות, אלהים	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
וחנונ אהיה	7	3.56	רחום, merciful · קריאת פנייה, אהה	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
וחנונ אהיה אשר	7	10.88	רחום, merciful · קריאת פנייה, אהה · דברים	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
וחנונ אהיה אשר אהיה	7	18.89	רחום, merciful · קריאת פנייה, אהה · דברים · קריאת פנייה, אהה	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
אבהתה ובניה	7	14.39	אב, אבות · בין	פיוט #4 — אדיק עלינן מרן
עליו עד	7	2.16	עליו · עד, כמקום (as far as) 	פיוט #5 — אזל שלם יום שבתה
מנ ריש	7	3.28	דברים · ראש	פיוט #5 — אזל שלם יום שבתה
מכל דוש	7	7.57	מכל · עבודה בשדה, threshing,	פיוט #5 — אזל שלם יום שבתה
דלא מתעמי	7	9.13	בטרם, לפני · חשכה, אפלה	פיוט #5 — אזל שלם יום שבתה
לכ תשבחנ	7	3.84	אותך · תהילות, שבחים	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
את בעי	7	4.91	אתה (כינוי גוף שני זכר · דרישה, חיפוש, בקשה, תפ	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
עבודה דעלמה אלהימ	7	17.78	בורא, יוצר · העולם · אלוהים, אל	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
כל בית	7	2.12	כל, כולו · האות בית, אות ראשית של	פיוט #7 — עבודה דעלמה מן ישום רביאנך (דורן)
כל עבראי	7	3.67	כל, כולו · עברי, איש עברי	פיוט #8 — אתי בשלם
אלהנו ומשבח	7	9.6	אלוהות, God · משבח (כינוי לאשר לפי S	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
התמימ הטהור	7	10.72	תמים, חסר מום, מושלם · נקי, טהור, clean, pure	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
לאלפימ נשא	7	10.44	לימוד, הוראה · נשא, הרים, סחב	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
לא ינקה	7	6.74	מילת שלילה והאיסור · ינוק, תינוק	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
